Place Name,Safety Rating (5.0),Lighting,Lighting Score,Police Presence,Emergency Services (m),Crime Beat ID,Crowd Density,Overall Status
Anna Nagar Zone-16,2.6,Poor,91%,No,879m,CHN0036,Low,Unsafe
Pallikaranai Zone-48,4.1,Poor,97%,No,1186m,CHN0037,Low,Moderate
Parrys Zone-77,4.5,Moderate,87%,Yes,697m,CHN0038,Low,Safe
Royapuram Zone-46,4.1,Poor,78%,Yes,1761m,CHN0039,Low,Moderate
Pallikaranai Zone-20,2.6,Poor,96%,Yes,757m,CHN0040,High,Unsafe
Ashok Nagar Zone-27,3.0,Poor,81%,Yes,677m,CHN0041,Low,Unsafe
Adyar Zone-28,3.5,Poor,93%,No,1081m,CHN0042,Low,Moderate
Tambaram Zone-80,4.3,Good,65%,No,1829m,CHN0043,Low,Safe
Kottivakkam Zone-19,3.4,Good,66%,Yes,1815m,CHN0044,Medium,Moderate
Egmore Zone-93,3.0,Poor,98%,No,301m,CHN0045,Medium,Unsafe
Ayanavaram Zone-71,3.9,Moderate,78%,No,820m,CHN0046,High,Moderate
George Town Zone-2,4.6,Good,76%,Yes,304m,CHN0047,High,Safe
Medavakkam Zone-96,4.0,Moderate,90%,Yes,1658m,CHN0048,Medium,Moderate
Teynampet Zone-59,2.6,Good,82%,Yes,360m,CHN0049,Low,Unsafe
Velachery Zone-33,4.9,Moderate,63%,No,667m,CHN0050,High,Safe
Thirumullaivoyal Zone-86,3.5,Moderate,62%,Yes,827m,CHN0051,Medium,Moderate
Chromepet Zone-39,4.1,Moderate,94%,No,1662m,CHN0052,High,Moderate
T Nagar Zone-91,4.7,Moderate,94%,Yes,253m,CHN0053,High,Safe
Thousand Lights Zone-90,3.0,Moderate,94%,No,643m,CHN0054,High,Unsafe
Kodambakkam Zone-76,4.1,Moderate,64%,Yes,960m,CHN0055,Medium,Moderate
Ashok Nagar Zone-97,3.9,Moderate,80%,Yes,1888m,CHN0056,Medium,Moderate
Manapakkam Zone-35,3.2,Good,95%,Yes,1829m,CHN0057,Low,Moderate
Ashok Nagar Zone-33,4.3,Good,92%,Yes,1585m,CHN0058,Low,Safe
Thiruvanmiyur Zone-86,3.9,Moderate,94%,No,1088m,CHN0059,Low,Moderate
Chromepet Zone-18,3.9,Poor,85%,Yes,1685m,CHN0060,Low,Moderate
Tambaram Zone-51,3.8,Good,93%,Yes,360m,CHN0061,High,Moderate
Poonamallee Zone-63,4.1,Moderate,95%,Yes,1049m,CHN0062,Medium,Moderate
Kottivakkam Zone-29,4.0,Moderate,92%,Yes,911m,CHN0063,Medium,Moderate
Manapakkam Zone-78,4.7,Poor,96%,Yes,1320m,CHN0064,High,Safe
Kilpauk Zone-77,4.6,Poor,62%,No,565m,CHN0065,Medium,Safe
Kotturpuram Zone-53,3.0,Moderate,66%,Yes,340m,CHN0066,High,Unsafe
Velachery East Zone-70,3.0,Good,95%,No,344m,CHN0067,Low,Unsafe
Ambattur Zone-57,3.0,Good,78%,No,278m,CHN0068,Low,Unsafe
Velachery East Zone-14,4.8,Moderate,80%,Yes,1555m,CHN0069,Low,Safe
Velachery West Zone-88,4.3,Poor,60%,Yes,1837m,CHN0070,Medium,Safe
Kottivakkam Zone-8,3.7,Good,87%,Yes,1355m,CHN0071,Medium,Moderate
Perungudi Zone-35,4.8,Good,98%,Yes,833m,CHN0072,High,Safe
Ambattur Zone-56,4.4,Good,69%,No,1193m,CHN0073,High,Safe
Kilpauk Zone-46,2.5,Good,100%,Yes,1557m,CHN0074,Medium,Unsafe
Parrys Zone-51,4.9,Good,71%,Yes,1099m,CHN0075,Low,Safe
Perambur Zone-15,4.0,Good,77%,Yes,285m,CHN0076,Medium,Moderate
Guindy Zone-40,3.5,Poor,99%,No,340m,CHN0077,Low,Moderate
George Town Zone-76,3.5,Poor,68%,No,367m,CHN0078,High,Moderate
Adyar Zone-84,4.2,Poor,68%,No,1428m,CHN0079,Low,Safe
Thiruvanmiyur Zone-3,4.5,Poor,67%,Yes,1000m,CHN0080,High,Safe
Sholinganallur Zone-93,2.7,Good,71%,No,1561m,CHN0081,High,Unsafe
Egmore Zone-64,2.7,Poor,89%,Yes,1603m,CHN0082,Low,Unsafe
Tambaram Zone-35,3.0,Moderate,92%,Yes,1860m,CHN0083,Low,Unsafe
Aminjikarai Zone-76,4.8,Good,68%,Yes,849m,CHN0084,High,Safe
Perambur Zone-34,2.8,Moderate,92%,Yes,1387m,CHN0085,High,Unsafe
Ashok Nagar Zone-55,4.4,Moderate,100%,No,903m,CHN0086,Medium,Safe
Avadi Zone-40,3.6,Poor,66%,Yes,1427m,CHN0087,High,Moderate
Chromepet Zone-14,4.8,Good,93%,No,913m,CHN0088,High,Safe
Nungambakkam Zone-82,4.9,Good,70%,No,939m,CHN0089,Medium,Safe
Mogappair Zone-50,4.7,Moderate,63%,Yes,1827m,CHN0090,High,Safe
Villivakkam Zone-72,3.8,Moderate,92%,No,948m,CHN0091,High,Moderate
Velachery West Zone-73,4.9,Good,69%,No,892m,CHN0092,Medium,Safe
Pallikaranai Zone-12,4.6,Good,64%,No,1270m,CHN0093,Medium,Safe
Porur Zone-90,3.3,Good,88%,Yes,325m,CHN0094,Low,Moderate
Villivakkam Zone-23,2.5,Good,100%,No,1389m,CHN0095,Medium,Unsafe
Thousand Lights Zone-65,2.8,Moderate,87%,No,1574m,CHN0096,Low,Unsafe
Pallavaram Zone-80,2.7,Good,90%,Yes,802m,CHN0097,Low,Unsafe
Velachery Zone-51,2.9,Poor,94%,Yes,1357m,CHN0098,Medium,Unsafe
Anna Nagar Zone-9,3.4,Good,77%,Yes,716m,CHN0099,High,Moderate
Parrys Zone-70,5.0,Moderate,90%,Yes,1337m,CHN0100,Low,Safe
Poonamallee Zone-99,3.6,Poor,74%,Yes,1187m,CHN0101,Low,Moderate
Vadapalani Zone-61,2.8,Poor,62%,No,1746m,CHN0102,Low,Unsafe
Ayanavaram Zone-18,3.6,Poor,81%,No,1181m,CHN0103,High,Moderate
Egmore Zone-29,2.8,Moderate,87%,Yes,1873m,CHN0104,Medium,Unsafe
Tambaram Zone-25,4.7,Moderate,100%,Yes,949m,CHN0105,Medium,Safe
Perungudi Zone-36,3.3,Good,66%,Yes,1870m,CHN0106,Medium,Moderate
Nungambakkam Zone-94,4.3,Good,100%,Yes,1050m,CHN0107,Low,Safe
Aminjikarai Zone-34,4.0,Moderate,85%,Yes,485m,CHN0108,Low,Moderate
Royapettah Zone-50,4.2,Poor,82%,Yes,875m,CHN0109,High,Safe
Maduravoyal Zone-5,4.0,Moderate,62%,Yes,542m,CHN0110,Low,Moderate
Aminjikarai Zone-90,4.4,Moderate,63%,Yes,1113m,CHN0111,Low,Safe
Pallavaram Zone-31,4.8,Poor,78%,Yes,1593m,CHN0112,Medium,Safe
Thoraipakkam Zone-19,3.4,Good,100%,No,1407m,CHN0113,Medium,Moderate
Adyar Zone-7,4.6,Good,73%,No,1014m,CHN0114,Medium,Safe
Thiruvanmiyur Zone-89,4.8,Good,86%,No,1388m,CHN0115,Medium,Safe
Velachery West Zone-90,2.9,Moderate,100%,No,1344m,CHN0116,Low,Unsafe
Alwarpet Zone-73,4.9,Good,88%,Yes,1285m,CHN0117,Low,Safe
Washermanpet Zone-47,5.0,Moderate,61%,No,1362m,CHN0118,Medium,Safe
Ayanavaram Zone-63,3.8,Poor,94%,No,802m,CHN0119,Medium,Moderate
Ashok Nagar Zone-26,3.1,Poor,89%,No,586m,CHN0120,Medium,Unsafe
Manapakkam Zone-73,4.4,Moderate,89%,Yes,570m,CHN0121,Low,Safe
Egmore Zone-5,3.4,Good,89%,No,1012m,CHN0122,Medium,Moderate
Kottivakkam Zone-12,3.4,Good,98%,Yes,605m,CHN0123,Medium,Moderate
Guindy Zone-87,3.7,Good,99%,No,861m,CHN0124,Low,Moderate
Maduravoyal Zone-28,3.5,Moderate,76%,No,887m,CHN0125,High,Moderate
Aminjikarai Zone-66,2.7,Good,90%,Yes,251m,CHN0126,High,Unsafe
Villivakkam Zone-87,3.8,Poor,87%,No,955m,CHN0127,Medium,Moderate
Adyar Zone-52,4.0,Moderate,80%,Yes,1765m,CHN0128,Medium,Moderate
Anna Nagar Zone-63,4.1,Poor,97%,Yes,424m,CHN0129,Medium,Moderate
Washermanpet Zone-22,2.6,Poor,89%,No,814m,CHN0130,Low,Unsafe
Guindy Zone-83,3.6,Moderate,68%,No,1796m,CHN0131,High,Moderate
Thiruvanmiyur Zone-37,3.0,Poor,72%,Yes,1644m,CHN0132,Low,Unsafe
Alwarpet Zone-61,3.3,Good,81%,Yes,1399m,CHN0133,Medium,Moderate
Villivakkam Zone-93,4.3,Moderate,69%,Yes,1149m,CHN0134,Low,Safe
Egmore Zone-96,4.4,Poor,73%,No,1715m,CHN0135,Low,Safe
Velachery Zone-70,4.1,Good,100%,No,673m,CHN0136,Low,Moderate
Royapuram Zone-28,3.6,Poor,92%,No,536m,CHN0137,High,Moderate
Kodambakkam Zone-25,4.5,Poor,81%,Yes,1234m,CHN0138,Medium,Safe
Alwarpet Zone-92,4.4,Poor,81%,No,928m,CHN0139,High,Safe
Velachery Zone-23,4.7,Poor,79%,Yes,1793m,CHN0140,Low,Safe
Tambaram Zone-54,4.6,Poor,70%,No,599m,CHN0141,Medium,Safe
Poonamallee Zone-34,4.7,Moderate,70%,No,812m,CHN0142,Low,Safe
Vandalur Zone-7,3.5,Poor,86%,Yes,525m,CHN0143,High,Moderate
Pallikaranai Zone-80,4.8,Poor,89%,No,840m,CHN0144,Low,Safe
Adyar Zone-63,4.1,Poor,74%,No,724m,CHN0145,High,Moderate
Mogappair Zone-16,4.3,Moderate,80%,Yes,1612m,CHN0146,Medium,Safe
Guindy Zone-19,3.7,Good,72%,Yes,460m,CHN0147,Medium,Moderate
Vadapalani Zone-92,2.5,Poor,76%,Yes,699m,CHN0148,Medium,Unsafe
Manapakkam Zone-99,4.7,Moderate,67%,No,1095m,CHN0149,Low,Safe
George Town Zone-100,4.6,Moderate,90%,No,1853m,CHN0150,Low,Safe
Vadapalani Zone-46,4.1,Poor,86%,No,336m,CHN0151,Low,Moderate
Vandalur Zone-22,2.7,Good,79%,No,965m,CHN0152,Medium,Unsafe
Perambur Zone-6,3.4,Moderate,65%,No,1334m,CHN0153,Medium,Moderate
Vadapalani Zone-72,3.2,Poor,62%,Yes,262m,CHN0154,High,Moderate
Egmore Zone-91,4.1,Poor,100%,No,1572m,CHN0155,Low,Moderate
Velachery Zone-76,3.5,Moderate,86%,No,1236m,CHN0156,Low,Moderate
Maduravoyal Zone-76,4.5,Poor,68%,Yes,1556m,CHN0157,High,Safe
Ambattur Zone-2,2.8,Moderate,79%,Yes,226m,CHN0158,Low,Unsafe
Saidapet Zone-12,4.3,Poor,81%,No,1282m,CHN0159,High,Safe
Thousand Lights Zone-35,3.7,Poor,90%,Yes,1851m,CHN0160,Medium,Moderate
Alwarpet Zone-96,3.3,Poor,85%,No,535m,CHN0161,Medium,Moderate
Royapettah Zone-34,3.0,Moderate,75%,Yes,1697m,CHN0162,Low,Unsafe
Perungudi Zone-51,4.5,Moderate,65%,Yes,1144m,CHN0163,Medium,Safe
Thiruvottriyur Zone-54,3.8,Poor,97%,Yes,637m,CHN0164,Medium,Moderate
Velachery Zone-11,4.2,Poor,80%,Yes,557m,CHN0165,Low,Safe
Poonamallee Zone-31,2.5,Poor,97%,No,1819m,CHN0166,Low,Unsafe
T Nagar Zone-85,2.8,Poor,99%,No,538m,CHN0167,Medium,Unsafe
Saidapet Zone-31,3.7,Good,90%,No,1218m,CHN0168,Low,Moderate
Pallikaranai Zone-49,2.6,Poor,65%,Yes,1832m,CHN0169,Low,Unsafe
Parrys Zone-1,2.7,Poor,62%,No,949m,CHN0170,Low,Unsafe
Thoraipakkam Zone-15,3.1,Good,73%,No,1858m,CHN0171,Medium,Unsafe
Parrys Zone-87,4.1,Moderate,60%,Yes,613m,CHN0172,Medium,Moderate
Egmore Zone-100,3.6,Good,70%,No,1107m,CHN0173,Low,Moderate
Ashok Nagar Zone-39,5.0,Moderate,64%,No,1369m,CHN0174,High,Safe
Washermanpet Zone-12,4.2,Poor,75%,Yes,212m,CHN0175,Medium,Safe
Royapuram Zone-99,2.8,Poor,60%,No,567m,CHN0176,Medium,Unsafe
Thiruvanmiyur Zone-65,3.5,Poor,66%,Yes,679m,CHN0177,High,Moderate
Ambattur Zone-52,4.1,Moderate,81%,No,1646m,CHN0178,Low,Moderate
Alwarpet Zone-68,3.1,Moderate,69%,No,498m,CHN0179,Low,Unsafe
Velachery Zone-80,3.0,Poor,92%,No,696m,CHN0180,Low,Unsafe
Perungudi Zone-11,3.0,Moderate,99%,Yes,800m,CHN0181,Low,Unsafe
Adyar Zone-25,3.2,Moderate,86%,Yes,1886m,CHN0182,Medium,Moderate
Aminjikarai Zone-73,4.5,Good,64%,No,243m,CHN0183,Low,Safe
Kilpauk Zone-88,4.5,Moderate,60%,No,733m,CHN0184,Medium,Safe
Guindy Zone-74,2.5,Moderate,60%,No,230m,CHN0185,Medium,Unsafe
Nungambakkam Zone-20,4.8,Moderate,64%,Yes,349m,CHN0186,Medium,Safe
Mogappair Zone-76,4.8,Good,86%,No,1059m,CHN0187,Medium,Safe
Vepery Zone-46,3.6,Good,77%,Yes,1576m,CHN0188,Low,Moderate
Mylapore Zone-35,2.8,Moderate,61%,Yes,402m,CHN0189,Low,Unsafe
Sholinganallur Zone-78,4.8,Poor,92%,Yes,1650m,CHN0190,Medium,Safe
Royapuram Zone-34,4.2,Good,60%,Yes,441m,CHN0191,High,Safe
Thousand Lights Zone-82,2.8,Moderate,89%,No,354m,CHN0192,Medium,Unsafe
Kodambakkam Zone-64,2.8,Poor,60%,No,1717m,CHN0193,High,Unsafe
Porur Zone-22,3.2,Poor,79%,Yes,1277m,CHN0194,Medium,Moderate
Kodambakkam Zone-17,3.7,Poor,65%,Yes,1423m,CHN0195,Low,Moderate
Alwarpet Zone-88,2.6,Poor,66%,Yes,1470m,CHN0196,High,Unsafe
Alwarpet Zone-55,4.7,Poor,86%,Yes,1064m,CHN0197,High,Safe
Kodambakkam Zone-56,3.3,Moderate,82%,Yes,1416m,CHN0198,Medium,Moderate
Velachery West Zone-6,4.8,Moderate,83%,Yes,1447m,CHN0199,Low,Safe
Velachery West Zone-20,3.4,Good,76%,No,591m,CHN0200,Low,Moderate
Ambattur Zone-94,3.7,Good,61%,No,950m,CHN0201,Medium,Moderate
Kilpauk Zone-65,3.7,Poor,64%,Yes,1450m,CHN0202,High,Moderate
Ashok Nagar Zone-25,4.9,Poor,60%,Yes,403m,CHN0203,Medium,Safe
Kilpauk Zone-24,4.1,Poor,89%,Yes,1156m,CHN0204,High,Moderate
Velachery Zone-52,3.9,Good,71%,Yes,1570m,CHN0205,Medium,Moderate
Pallavaram Zone-56,5.0,Good,78%,No,496m,CHN0206,Medium,Safe
Alwarpet Zone-75,3.6,Moderate,83%,Yes,1519m,CHN0207,Low,Moderate
Sholinganallur Zone-95,2.9,Good,88%,No,306m,CHN0208,Low,Unsafe
Thiruvottriyur Zone-41,3.9,Moderate,90%,No,1421m,CHN0209,Medium,Moderate
Chromepet Zone-69,3.1,Good,79%,No,1766m,CHN0210,High,Unsafe
Thoraipakkam Zone-44,2.6,Poor,91%,Yes,1450m,CHN0211,Low,Unsafe
Guindy Zone-47,3.4,Good,70%,Yes,1506m,CHN0212,High,Moderate
Thiruvottriyur Zone-60,3.8,Poor,87%,No,727m,CHN0213,Low,Moderate
Adyar Zone-73,4.9,Moderate,70%,Yes,1996m,CHN0214,Low,Safe
Medavakkam Zone-20,2.7,Moderate,75%,Yes,1975m,CHN0215,High,Unsafe
T Nagar Zone-73,3.7,Poor,76%,Yes,332m,CHN0216,High,Moderate
Chromepet Zone-83,4.9,Poor,67%,No,356m,CHN0217,Medium,Safe
Egmore Zone-6,4.9,Moderate,74%,No,1859m,CHN0218,High,Safe
Avadi Zone-67,5.0,Moderate,61%,Yes,1908m,CHN0219,High,Safe
Thousand Lights Zone-29,3.2,Moderate,74%,Yes,1900m,CHN0220,Medium,Moderate
Vepery Zone-75,4.7,Poor,61%,Yes,606m,CHN0221,Medium,Safe
Teynampet Zone-83,4.5,Good,86%,Yes,1563m,CHN0222,Medium,Safe
Kotturpuram Zone-5,3.8,Moderate,100%,No,507m,CHN0223,Low,Moderate
Thoraipakkam Zone-46,3.0,Poor,76%,No,1605m,CHN0224,High,Unsafe
Vadapalani Zone-44,3.9,Good,62%,Yes,1107m,CHN0225,Low,Moderate
Mylapore Zone-10,3.1,Good,100%,Yes,1819m,CHN0226,High,Unsafe
Nungambakkam Zone-68,3.5,Poor,63%,No,1782m,CHN0227,High,Moderate
Thoraipakkam Zone-98,3.2,Good,73%,No,1821m,CHN0228,Medium,Moderate
T Nagar Zone-3,4.2,Moderate,93%,Yes,1859m,CHN0229,Low,Safe
Kilpauk Zone-57,3.6,Moderate,100%,Yes,1179m,CHN0230,Low,Moderate
Perungudi Zone-77,4.2,Poor,82%,No,518m,CHN0231,Medium,Safe
Perungudi Zone-81,2.5,Moderate,68%,No,1150m,CHN0232,Low,Unsafe
Villivakkam Zone-24,3.8,Moderate,88%,No,269m,CHN0233,Medium,Moderate
Mylapore Zone-59,4.1,Good,63%,Yes,984m,CHN0234,Medium,Moderate
Parrys Zone-23,3.6,Good,86%,No,1786m,CHN0235,High,Moderate
Manapakkam Zone-63,2.7,Good,92%,Yes,603m,CHN0236,Medium,Unsafe
Egmore Zone-77,3.1,Poor,66%,No,1205m,CHN0237,Medium,Unsafe
Tambaram Zone-76,4.4,Good,93%,Yes,211m,CHN0238,Low,Safe
George Town Zone-23,4.5,Moderate,80%,Yes,869m,CHN0239,High,Safe
Velachery West Zone-87,2.9,Moderate,96%,Yes,505m,CHN0240,High,Unsafe
Pallavaram Zone-33,3.8,Good,92%,Yes,851m,CHN0241,Low,Moderate
T Nagar Zone-76,4.2,Moderate,61%,No,1551m,CHN0242,Low,Safe
Royapuram Zone-57,4.1,Moderate,80%,Yes,1798m,CHN0243,High,Moderate
Medavakkam Zone-61,3.9,Good,84%,No,1598m,CHN0244,High,Moderate
Saidapet Zone-57,4.5,Poor,92%,Yes,1305m,CHN0245,Low,Safe
Saidapet Zone-17,4.5,Poor,85%,Yes,632m,CHN0246,High,Safe
Velachery Zone-20,4.7,Moderate,71%,Yes,760m,CHN0247,High,Safe
Royapettah Zone-76,4.7,Poor,86%,No,1100m,CHN0248,Medium,Safe
Thousand Lights Zone-71,3.2,Moderate,65%,Yes,1022m,CHN0249,High,Moderate
Ambattur Zone-21,3.9,Good,96%,Yes,819m,CHN0250,High,Moderate
Thiruvottriyur Zone-9,4.7,Moderate,60%,Yes,572m,CHN0251,High,Safe
Velachery Zone-1,3.8,Good,93%,Yes,1156m,CHN0252,Low,Moderate
Ashok Nagar Zone-46,3.8,Good,92%,Yes,745m,CHN0253,Low,Moderate
Teynampet Zone-50,4.3,Poor,88%,No,1065m,CHN0254,Medium,Safe
Pallavaram Zone-66,4.8,Moderate,84%,No,581m,CHN0255,Low,Safe
Kilpauk Zone-37,3.4,Good,79%,No,227m,CHN0256,High,Moderate
Washermanpet Zone-9,5.0,Moderate,99%,No,1895m,CHN0257,Low,Safe
Vandalur Zone-63,4.3,Moderate,90%,Yes,1829m,CHN0258,Medium,Safe
Nungambakkam Zone-4,4.3,Good,77%,Yes,1886m,CHN0259,High,Safe
Kotturpuram Zone-49,4.6,Good,84%,Yes,1998m,CHN0260,Medium,Safe
T Nagar Zone-60,3.6,Moderate,69%,No,1586m,CHN0261,High,Moderate
Teynampet Zone-34,3.0,Good,91%,Yes,532m,CHN0262,Low,Unsafe
Perambur Zone-12,3.8,Moderate,88%,No,1402m,CHN0263,Medium,Moderate
Vadapalani Zone-12,3.8,Moderate,75%,No,1404m,CHN0264,Medium,Moderate
Kottivakkam Zone-39,2.6,Moderate,90%,No,750m,CHN0265,Medium,Unsafe
Mylapore Zone-24,2.7,Poor,91%,Yes,1431m,CHN0266,Medium,Unsafe
Kilpauk Zone-27,4.9,Good,63%,Yes,1366m,CHN0267,Medium,Safe
Mogappair Zone-8,3.9,Good,87%,Yes,384m,CHN0268,High,Moderate
Maduravoyal Zone-95,3.0,Moderate,88%,Yes,560m,CHN0269,Low,Unsafe
Saidapet Zone-67,3.8,Good,67%,No,1634m,CHN0270,Low,Moderate
Parrys Zone-27,3.1,Moderate,80%,No,1317m,CHN0271,Low,Unsafe
Teynampet Zone-43,2.6,Poor,79%,Yes,1939m,CHN0272,High,Unsafe
Thoraipakkam Zone-3,4.9,Good,87%,No,388m,CHN0273,High,Safe
Pallikaranai Zone-25,4.7,Poor,89%,Yes,1569m,CHN0274,High,Safe
Vadapalani Zone-26,4.3,Moderate,88%,Yes,771m,CHN0275,Medium,Safe
Vepery Zone-33,4.4,Poor,88%,No,207m,CHN0276,Medium,Safe
T Nagar Zone-95,3.1,Good,86%,Yes,1440m,CHN0277,Medium,Unsafe
Thiruvanmiyur Zone-26,4.6,Poor,98%,No,966m,CHN0278,High,Safe
Ayanavaram Zone-2,4.1,Good,72%,Yes,990m,CHN0279,High,Moderate
Tambaram Zone-71,3.1,Poor,74%,Yes,597m,CHN0280,Medium,Unsafe
Perambur Zone-71,4.7,Poor,84%,No,215m,CHN0281,Low,Safe
Kodambakkam Zone-58,3.7,Poor,66%,No,498m,CHN0282,High,Moderate
Kodambakkam Zone-74,4.3,Poor,65%,No,215m,CHN0283,High,Safe
Kodambakkam Zone-61,3.9,Poor,77%,Yes,1594m,CHN0284,Low,Moderate
Thiruvottriyur Zone-39,4.6,Poor,93%,No,384m,CHN0285,Low,Safe
Medavakkam Zone-7,4.0,Moderate,67%,No,717m,CHN0286,Medium,Moderate
Guindy Zone-25,4.6,Good,78%,Yes,1964m,CHN0287,Medium,Safe
Kilpauk Zone-44,2.5,Poor,73%,Yes,396m,CHN0288,High,Unsafe
Egmore Zone-80,4.0,Moderate,94%,No,905m,CHN0289,Medium,Moderate
Nungambakkam Zone-7,4.1,Good,85%,No,244m,CHN0290,Low,Moderate
Kilpauk Zone-51,3.1,Good,96%,Yes,1867m,CHN0291,Low,Unsafe
Thirumullaivoyal Zone-15,3.2,Good,75%,No,230m,CHN0292,Medium,Moderate
Avadi Zone-81,2.9,Good,89%,Yes,1713m,CHN0293,Low,Unsafe
Vandalur Zone-11,4.9,Good,79%,Yes,1466m,CHN0294,Low,Safe
Kotturpuram Zone-33,4.0,Moderate,77%,No,1730m,CHN0295,Low,Moderate
Porur Zone-90,3.5,Moderate,60%,Yes,1042m,CHN0296,Medium,Moderate
Perambur Zone-10,3.9,Moderate,60%,No,1474m,CHN0297,Medium,Moderate
Teynampet Zone-43,4.9,Moderate,72%,No,1333m,CHN0298,Low,Safe
Washermanpet Zone-51,3.9,Poor,78%,Yes,564m,CHN0299,High,Moderate
Sholinganallur Zone-87,3.5,Poor,89%,No,1753m,CHN0300,Low,Moderate
George Town Zone-86,3.1,Good,85%,Yes,851m,CHN0301,Low,Unsafe
Kodambakkam Zone-85,4.4,Moderate,90%,Yes,1017m,CHN0302,Medium,Safe
Washermanpet Zone-9,2.5,Poor,64%,Yes,257m,CHN0303,High,Unsafe
Villivakkam Zone-69,2.7,Poor,92%,No,428m,CHN0304,Low,Unsafe
Pallavaram Zone-88,4.3,Good,61%,No,1792m,CHN0305,Medium,Safe
Mogappair Zone-73,2.5,Moderate,73%,No,851m,CHN0306,Low,Unsafe
Velachery Zone-79,4.8,Poor,91%,Yes,852m,CHN0307,High,Safe
Thiruvanmiyur Zone-34,3.7,Good,60%,No,751m,CHN0308,Medium,Moderate
Washermanpet Zone-27,3.6,Poor,93%,Yes,1809m,CHN0309,Low,Moderate
Mylapore Zone-65,4.7,Good,72%,Yes,390m,CHN0310,High,Safe
Aminjikarai Zone-50,3.0,Poor,93%,Yes,1122m,CHN0311,High,Unsafe
Velachery Zone-82,4.3,Good,99%,No,1670m,CHN0312,Medium,Safe
Vandalur Zone-10,3.0,Good,71%,Yes,1277m,CHN0313,Medium,Unsafe
Velachery West Zone-85,3.8,Poor,85%,Yes,1392m,CHN0314,Low,Moderate
Ambattur Zone-49,2.8,Poor,63%,No,1994m,CHN0315,Medium,Unsafe
Avadi Zone-84,2.7,Moderate,73%,No,1744m,CHN0316,Low,Unsafe
Manapakkam Zone-42,4.9,Poor,63%,No,584m,CHN0317,Medium,Safe
Kodambakkam Zone-32,2.6,Moderate,84%,Yes,1378m,CHN0318,Medium,Unsafe
Thoraipakkam Zone-47,3.9,Moderate,90%,No,384m,CHN0319,High,Moderate
